p1,p2,p3
459, 561, 562
660, 566, 563
563, 504, 662
584, 572, 331
542, 568, 541
565, 564, 569
487, 565, 568
660, 563, 560
565, 566, 564
634, 635, 656
648, 635, 614
569, 568, 565
568, 569, 570
567, 612, 611
569, 567, 570
571, 570, 567
572, 541, 568
576, 571, 567
419, 575, 332
570, 571, 572
331, 572, 571
611, 637, 647
650, 651, 666
574, 577, 582
574, 579, 580
331, 571, 575
575, 571, 576
611, 576, 567
576, 573, 577
575, 577, 332
582, 577, 573
582, 611, 581
627, 593, 625
579, 574, 582
658, 640, 657
322, 580, 479
579, 666, 667
573, 576, 611
659, 661, 658
611, 582, 573
579, 582, 581
491, 583, 494
493, 583, 495
422, 584, 331
585, 584, 417
540, 585, 417
542, 585, 493
587, 586, 547
425, 586, 550
547, 588, 587
590, 311, 592
663, 588, 547
314, 315, 590
102, 638, 592
591, 641, 587
311, 590, 315
590, 589, 591
590, 591, 588
591, 589, 641
593, 592, 638
589, 590, 592
594, 624, 553
592, 593, 627
482, 668, 652
618, 553, 593
596, 595, 515
524, 594, 595
516, 596, 515
517, 483, 628
556, 597, 243
597, 554, 601
446, 600, 529
601, 131, 345
604, 446, 477
103, 214, 606
602, 600, 599
527, 529, 600
601, 345, 175
554, 598, 601
600, 602, 527
602, 599, 603
603, 599, 605
244, 603, 214
115, 604, 477
600, 604, 599
599, 604, 629
632, 213, 103
214, 603, 606
605, 606, 603
608, 654, 655
562, 607, 560
634, 470, 511
608, 656, 654
607, 533, 609
609, 533, 558
470, 610, 442
608, 609, 610
567, 569, 612
637, 611, 615
564, 653, 569
654, 656, 642
616, 439, 509
611, 612, 615
551, 664, 469
648, 644, 637
615, 612, 642
637, 615, 613
636, 616, 469
439, 616, 614
102, 310, 619
521, 622, 518
553, 618, 595
622, 618, 617
127, 621, 310
639, 620, 621
518, 620, 519
617, 619, 620
310, 621, 619
127, 238, 639
617, 620, 622
622, 620, 518
652, 668, 651
643, 636, 664
482, 624, 594
625, 624, 623
623, 649, 625
553, 625, 593
643, 649, 640
626, 643, 641
625, 626, 627
641, 627, 626
595, 628, 524
517, 628, 596
630, 115, 91
631, 629, 630
138, 633, 91
110, 633, 138
632, 110, 213
605, 629, 631
632, 103, 606
110, 632, 631
631, 633, 110
91, 633, 630
635, 634, 439
610, 634, 608
614, 635, 439
615, 642, 613
313, 641, 643
645, 637, 644
637, 578, 647
613, 648, 637
619, 638, 102
618, 638, 617
209, 639, 238
620, 639, 519
640, 649, 657
578, 645, 646
641, 313, 587
627, 641, 589
653, 654, 642
642, 635, 613
649, 643, 626
646, 643, 640
616, 644, 614
645, 644, 636
636, 643, 646
637, 645, 578
578, 646, 640
636, 646, 645
661, 647, 578
611, 647, 581
635, 648, 613
644, 648, 614
625, 649, 626
657, 649, 623
623, 624, 652
659, 658, 650
665, 651, 353
652, 650, 657
482, 652, 624
650, 652, 651
569, 653, 612
654, 653, 564
660, 564, 566
609, 655, 560
608, 655, 609
660, 655, 654
634, 656, 608
635, 642, 656
652, 657, 623
658, 657, 650
666, 659, 650
640, 658, 578
579, 581, 659
661, 659, 581
655, 660, 560
564, 660, 654
647, 661, 581
658, 661, 578
500, 662, 503
563, 662, 459
316, 663, 165
588, 663, 314
643, 664, 313
469, 664, 636
475, 665, 353
447, 580, 667
667, 666, 665
659, 666, 579
447, 667, 665
579, 667, 580
522, 668, 482
353, 668, 523
